infer,public.c,322,INTEGER_OVERFLOW_L2:322,1,4,1,5,0.2
flawfinder,cJSON.c,532,buffer/strlen:534,1,4,1,5,0.2
codeql,debug.c,361,cpp/unsigned-comparison-zero:361,32,167,3,5,0.6
codeql,compiler.c,1902,cpp/conversion-changes-sign:1907,2,41,1,5,0.2
codeql,cJSON.c,2653,cpp/missing-null-test:2653,1,15,1,5,0.2
flawfinder,argparse.h,197,format/fprintf:197,2,5,1,5,0.2
flawfinder,std_path.c,215,race/access:215,1,1,1,5,0.2
clang,debug.c,406,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:407,32,167,3,5,0.6
codeql,term.h,1002,cpp/integer-overflow-tainted:1002-cpp/conversion-changes-sign:1002,6,17,2,5,0.4
flawfinder,argparse.h,482,buffer/strlen:497-buffer/strlen:499-buffer/strlen:491-buffer/strlen:494,18,48,2,5,0.4
clang,debug.c,416,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:417,32,167,3,5,0.6
codeql,core.c,670,cpp/memory-may-not-be-freed:670,2,15,1,5,0.2
flawfinder,public.c,1109,buffer/fgetc:1109,2,13,2,5,0.4
codeql,vm.c,1034,cpp/unsigned-comparison-zero:1035,22,467,3,5,0.6
codeql-clang,core.c,122,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:122-cpp/global-use-before-init:122,1,1,2,5,0.4
codeql,public.c,660,cpp/equality-on-floats:660,1,9,1,5,0.2
codeql,debug.c,513,cpp/unsigned-comparison-zero:514,32,167,3,5,0.6
codeql,core.c,830,cpp/memory-may-not-be-freed:830,2,22,1,5,0.2
codeql,utils.c,127,cpp/conversion-changes-sign:128-cpp/integer-overflow-tainted:128,1,4,1,5,0.2
codeql,core.c,1009,cpp/equality-on-floats:1010,1,3,1,5,0.2
flawfinder,term.h,478,format/fprintf:478,1,16,1,5,0.2
flawfinder,argparse.h,493,buffer/strlen:494,18,48,2,5,0.4
codeql,vm.c,1424,cpp/equality-on-floats:1424,22,467,3,5,0.6
codeql,vm.c,1110,cpp/unsigned-comparison-zero:1111,22,467,3,5,0.6
flawfinder,main.c,124,format/printf:124,2,31,1,5,0.2
clang-flawfinder,value.c,823,security.insecureAPI.DeprecatedOrUnsafeBufferHandling:825-buffer/memcpy:825-buffer/strlen:824,4,31,2,5,0.4
infer,cwalk.c,852,INTEGER_OVERFLOW_L2:852,1,32,1,5,0.2
codeql,vm.c,471,cpp/memory-may-not-be-freed:471,3,41,2,5,0.4
codeql,debug.c,462,cpp/conversion-changes-sign:462,32,167,3,5,0.6
codeql,compiler.c,2978,cpp/conversion-changes-sign:2979,2,28,2,5,0.4
clang-flawfinder,value.c,302,buffer/memcpy:304-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:304,1,5,2,5,0.4
flawfinder,argparse.h,176,buffer/strlen:176,1,2,1,5,0.2
codeql,compiler.c,1932,cpp/conversion-changes-sign:1935,2,41,1,5,0.2
codeql,vm.c,1035,cpp/unsigned-comparison-zero:1035,22,467,3,5,0.6
flawfinder-codeql-clang,value.c,1683,cpp/conversion-changes-sign:1693-format/snprintf:1689-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1689-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1686-format/snprintf:1686-cpp/conversion-changes-sign:1695,14,143,3,5,0.6
flawfinder,public.c,1123,misc/fopen:1123,3,13,2,5,0.4
semgrep-clang,cJSON.c,1190,c.lang.security.insecure-use-memset.insecure-use-memset:1193-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:1193,2,24,3,5,0.6
codeql-flawfinder,argparse.h,526,cpp/conversion-changes-sign:526-format/fprintf:526,18,48,2,5,0.4
codeql,value.c,769,cpp/memory-may-not-be-freed:769,2,24,1,5,0.2
flawfinder-clang,debug.c,196,buffer/sprintf:198-security.insecureAPI.DeprecatedOrUnsafeBufferHandling:198,3,26,3,5,0.6
infer,cJSON.c,1500,INTEGER_OVERFLOW_L2:1501,2,39,2,5,0.4
codeql,compiler.c,3072,cpp/conversion-changes-sign:3073,2,23,1,5,0.2
